stop_name,daytime_routes,division,line,borough,structure,gtfs_longitude,gtfs_latitude,complex_id,date,entries,exits
Astoria - Ditmars Blvd,N W,BMT,Astoria,Q,Elevated,-73.912034,40.775036,1,2021-01-01,1459,2129
Astoria - Ditmars Blvd,N W,BMT,Astoria,Q,Elevated,-73.912034,40.775036,1,2021-01-02,2781,3475
Astoria - Ditmars Blvd,N W,BMT,Astoria,Q,Elevated,-73.912034,40.775036,1,2021-01-03,1686,2330
Astoria - Ditmars Blvd,N W,BMT,Astoria,Q,Elevated,-73.912034,40.775036,1,2021-01-04,4496,5346
Astoria - Ditmars Blvd,N W,BMT,Astoria,Q,Elevated,-73.912034,40.775036,1,2021-01-05,4659,5682
Astoria - Ditmars Blvd,N W,BMT,Astoria,Q,Elevated,-73.912034,40.775036,1,2021-01-06,4643,5402
Astoria - Ditmars Blvd,N W,BMT,Astoria,Q,Elevated,-73.912034,40.775036,1,2021-01-07,4572,5596
Astoria - Ditmars Blvd,N W,BMT,Astoria,Q,Elevated,-73.912034,40.775036,1,2021-01-08,4729,5767
Astoria - Ditmars Blvd,N W,BMT,Astoria,Q,Elevated,-73.912034,40.775036,1,2021-01-09,2914,3804
Astoria - Ditmars Blvd,N W,BMT,Astoria,Q,Elevated,-73.912034,40.775036,1,2021-01-10,2131,3026
Astoria - Ditmars Blvd,N W,BMT,Astoria,Q,Elevated,-73.912034,40.775036,1,2021-01-11,4460,5483
Astoria - Ditmars Blvd,N W,BMT,Astoria,Q,Elevated,-73.912034,40.775036,1,2021-01-12,4764,5806
Astoria - Ditmars Blvd,N W,BMT,Astoria,Q,Elevated,-73.912034,40.775036,1,2021-01-13,4687,5702
Astoria - Ditmars Blvd,N W,BMT,Astoria,Q,Elevated,-73.912034,40.775036,1,2021-01-14,4368,4517
Astoria - Ditmars Blvd,N W,BMT,Astoria,Q,Elevated,-73.912034,40.775036,1,2021-01-15,5092,6884
Astoria - Ditmars Blvd,N W,BMT,Astoria,Q,Elevated,-73.912034,40.775036,1,2021-01-16,2917,3714
Astoria - Ditmars Blvd,N W,BMT,Astoria,Q,Elevated,-73.912034,40.775036,1,2021-01-17,2179,2994
Astoria - Ditmars Blvd,N W,BMT,Astoria,Q,Elevated,-73.912034,40.775036,1,2021-01-18,3721,4763
Astoria - Ditmars Blvd,N W,BMT,Astoria,Q,Elevated,-73.912034,40.775036,1,2021-01-19,4673,5742
Astoria - Ditmars Blvd,N W,BMT,Astoria,Q,Elevated,-73.912034,40.775036,1,2021-01-20,4475,5550
Astoria - Ditmars Blvd,N W,BMT,Astoria,Q,Elevated,-73.912034,40.775036,1,2021-01-21,4745,5739
Astoria - Ditmars Blvd,N W,BMT,Astoria,Q,Elevated,-73.912034,40.775036,1,2021-01-22,4837,5797
49 St,N R W,BMT,Broadway - Brighton,M,Subway,-73.984139,40.759901,10,2021-01-01,1928,2625
49 St,N R W,BMT,Broadway - Brighton,M,Subway,-73.984139,40.759901,10,2021-01-02,2735,3875
49 St,N R W,BMT,Broadway - Brighton,M,Subway,-73.984139,40.759901,10,2021-01-03,1708,2330
49 St,N R W,BMT,Broadway - Brighton,M,Subway,-73.984139,40.759901,10,2021-01-04,2868,4032
49 St,N R W,BMT,Broadway - Brighton,M,Subway,-73.984139,40.759901,10,2021-01-05,2985,3991
49 St,N R W,BMT,Broadway - Brighton,M,Subway,-73.984139,40.759901,10,2021-01-06,2926,4026
49 St,N R W,BMT,Broadway - Brighton,M,Subway,-73.984139,40.759901,10,2021-01-07,2963,3859
49 St,N R W,BMT,Broadway - Brighton,M,Subway,-73.984139,40.759901,10,2021-01-08,2985,4091
49 St,N R W,BMT,Broadway - Brighton,M,Subway,-73.984139,40.759901,10,2021-01-09,2331,3325
49 St,N R W,BMT,Broadway - Brighton,M,Subway,-73.984139,40.759901,10,2021-01-10,1581,2434
49 St,N R W,BMT,Broadway - Brighton,M,Subway,-73.984139,40.759901,10,2021-01-11,2821,3717
49 St,N R W,BMT,Broadway - Brighton,M,Subway,-73.984139,40.759901,10,2021-01-12,2972,3972
49 St,N R W,BMT,Broadway - Brighton,M,Subway,-73.984139,40.759901,10,2021-01-13,2844,3860
49 St,N R W,BMT,Broadway - Brighton,M,Subway,-73.984139,40.759901,10,2021-01-14,3030,3928
49 St,N R W,BMT,Broadway - Brighton,M,Subway,-73.984139,40.759901,10,2021-01-15,3027,4074
49 St,N R W,BMT,Broadway - Brighton,M,Subway,-73.984139,40.759901,10,2021-01-16,2317,3392
49 St,N R W,BMT,Broadway - Brighton,M,Subway,-73.984139,40.759901,10,2021-01-17,1798,2412
49 St,N R W,BMT,Broadway - Brighton,M,Subway,-73.984139,40.759901,10,2021-01-18,2369,3307
49 St,N R W,BMT,Broadway - Brighton,M,Subway,-73.984139,40.759901,10,2021-01-19,2882,4012
49 St,N R W,BMT,Broadway - Brighton,M,Subway,-73.984139,40.759901,10,2021-01-20,2814,3715
49 St,N R W,BMT,Broadway - Brighton,M,Subway,-73.984139,40.759901,10,2021-01-21,2935,3859
49 St,N R W,BMT,Broadway - Brighton,M,Subway,-73.984139,40.759901,10,2021-01-22,3086,4342
Hewes St,J M,BMT,Jamaica,Bk,Elevated,-73.953431,40.70687,100,2021-01-01,380,551
Hewes St,J M,BMT,Jamaica,Bk,Elevated,-73.953431,40.70687,100,2021-01-02,481,697
Hewes St,J M,BMT,Jamaica,Bk,Elevated,-73.953431,40.70687,100,2021-01-03,457,618
Hewes St,J M,BMT,Jamaica,Bk,Elevated,-73.953431,40.70687,100,2021-01-04,999,1132
Hewes St,J M,BMT,Jamaica,Bk,Elevated,-73.953431,40.70687,100,2021-01-05,989,1138
Hewes St,J M,BMT,Jamaica,Bk,Elevated,-73.953431,40.70687,100,2021-01-06,1085,1240
Hewes St,J M,BMT,Jamaica,Bk,Elevated,-73.953431,40.70687,100,2021-01-07,1068,1254
Hewes St,J M,BMT,Jamaica,Bk,Elevated,-73.953431,40.70687,100,2021-01-08,1014,1247
Hewes St,J M,BMT,Jamaica,Bk,Elevated,-73.953431,40.70687,100,2021-01-09,556,1000
Hewes St,J M,BMT,Jamaica,Bk,Elevated,-73.953431,40.70687,100,2021-01-10,507,810
Hewes St,J M,BMT,Jamaica,Bk,Elevated,-73.953431,40.70687,100,2021-01-11,963,1154
Hewes St,J M,BMT,Jamaica,Bk,Elevated,-73.953431,40.70687,100,2021-01-12,1009,1186
Hewes St,J M,BMT,Jamaica,Bk,Elevated,-73.953431,40.70687,100,2021-01-13,1065,1303
Hewes St,J M,BMT,Jamaica,Bk,Elevated,-73.953431,40.70687,100,2021-01-14,1083,1305
Hewes St,J M,BMT,Jamaica,Bk,Elevated,-73.953431,40.70687,100,2021-01-15,1091,1291
Hewes St,J M,BMT,Jamaica,Bk,Elevated,-73.953431,40.70687,100,2021-01-16,589,729
Hewes St,J M,BMT,Jamaica,Bk,Elevated,-73.953431,40.70687,100,2021-01-17,542,784
Hewes St,J M,BMT,Jamaica,Bk,Elevated,-73.953431,40.70687,100,2021-01-18,957,1041
Hewes St,J M,BMT,Jamaica,Bk,Elevated,-73.953431,40.70687,100,2021-01-19,1021,1191
Hewes St,J M,BMT,Jamaica,Bk,Elevated,-73.953431,40.70687,100,2021-01-20,1029,1243
Hewes St,J M,BMT,Jamaica,Bk,Elevated,-73.953431,40.70687,100,2021-01-21,1115,1299
Hewes St,J M,BMT,Jamaica,Bk,Elevated,-73.953431,40.70687,100,2021-01-22,968,1151
Marcy Av,J M Z,BMT,Jamaica,Bk,Elevated,-73.957757,40.708359,101,2021-01-01,1513,2078
Marcy Av,J M Z,BMT,Jamaica,Bk,Elevated,-73.957757,40.708359,101,2021-01-02,1807,2678
